key,en,pt_BR
eggtext1,Are your parents home? \n ;p,Seus pais estão em casa? ;p
eggtext2,You seem so lonely in this \nhuge house. :O,Você parece ficar tão sozinho \nnessa casa enorme. :O
eggtext3,: ) I'll never leave you \nalone again., ʅ（´◡｀）ʃ eu nunca mais vou te \ndeixar sozinho de novo.
eggtext4,Do you like living here?(. . ?),Você gosta de morar aqui?(. . ?)
eggtext5,(>v<)/ I'll be your best friend \nin this world.,(>v<)/ eu vou ser o seu melhor\n amigo neste mundo.
eggtext6,We'll be an UNBEATABLE duo. \n(>w<),Seremos uma dupla IMBATÍVEL. (>w<)
battext1,oww I'm feeling sooooo\n Weak...,Oww... estou me sentindo tããoo fraco...
battext2,Oww... I think I'm going to die.,Oww... acho que vou morrer.
battext3,I'm running out of energy.,Estou ficando sem energias.
battext4,(> ~ < ) please save me...,"(> ~ < ) Por favor, me salve."
