keys,en
Text/38/text,"As night falls in a small town in Brazil, you are watching TV and start to complain:"
Text/39/text,"Grandpa, please let me watch cartoons, there's nothing to do here!"
Text/3a/text,Why don't you go play with the new toy that your grandmother gave to you? I'm watching the news!
Text/3b/text,"But I've already done everything I could do with it, let me watch cartoons!"
Text/3c/text,"Boy, stop bothering your grandfather, the food is almost ready, why don't you walk around the house a bit? Get away from that TV!"
Text/3d/text,"Following your grandfather's advice, you walk around the house and enter a rarely visited room, it's full of boxes and dusty things."
Text/3e/text,"Venturing among the objects, you find a pretty hand mirror with some weird symbols on the back, but it doesn't seem to have anything special about it."
Text/3f/text,"BOY, DINNER IS READY!!!"
Text/40/text,"You drop the mirror in fright and try to get back to your grandmother as quickly as possible, hoping that no one heard. Luckily, the TV volume was high, and they didn't suspect anything."
Text/41/text,"At the end of the meal, you feel something vibrate in your pocket and make some sounds; your Eggwatch suddenly died, the brand-new toy your grandmother had given you was broken… your sadness was so great that you went to bed crying that night."
Text/42/text,"In the middle of the night, you feel a light in your eyes; you wake up."
