keys,en,pt_BR
Text/1e/text,"First, to build our scene, you need to draw the symbol of Azarothe on the floor (⇀‸↼‶).","Primeiro, para construir nosso cenário, precisa desenhar o símbolo de azarothe no chão (⇀‸↼‶)."
Text/1f/text,Huh… Aza what?? What does that look like?,Han… aza o que?? Como que é isso?
Text/20/text,"Like a circle on the floor with- WE DON'T HAVE TIME, JUST DO YOUR BEST (╬ಠ益ಠ)!!!","Como um círculo no chão com- NÃO TEMOS TEMPO, SÓ DÊ O SEU MELHOR（╬ಠ益ಠ) ."
Text/21/text,"You're really in a hurry to play, I'll do something like this… hm.. done, what else?","Você está mesmo com pressa pra brincar, vou fazer algo assim… hm.. pronto, que mais?"
Text/22/text,Now place the five ritual candles around and LIGHT THEM ಠ益ಠ)凸!!!,Agora coloque as cinco velas ao redor e ACENDA ಠ益ಠ)凸
Text/23/text,"Light? But Grandma said not to play with fire, I might get burned.","Acender? mas a vovó disse pra não mexer com fogo, eu posso me queimar."
Text/24/text,"FORGET ABOUT THAT, now put the sand of souls and place me in the middle of the circle, I'LL FIND A WAY OUT ((╬◣﹏◢))!!!","ESQUEÇA ISSO, agora ponha a areia das almas e me coloque no meio do círculo, EU VOU DAR UM JEITO ((╬◣﹏◢))"
Text/25/text,"*The eggwatch begins to tremble in the middle of the circle and all the candles are lit in order, the room begins to get hotter.*","*O eggwatch começa a tremer no meio do círculo e todas as velas são incendiadas em ordem, o quarto começa a ficar mais quente.*"
Text/26/text,"Hmm... you're scaring me, I don't want to play with you anymore.","Hmm.. você está me assustando, eu não quero mais brincar com você."
Text/27/text,"BOY, WHAT IS THAT?","MENINO O QUE É ISSO?
"
