keys,en
Text/1c/text,"First, to build our scene, you need to draw the symbol of Azarothe on the floor (⇀‸↼‶)"
Text/1d/text,Huh… Aza what?? What does that look like?
Text/1e/text,"Like a circle on the floor with- WE DON'T HAVE TIME, JUST DO YOUR BEST (╬ಠ益ಠ)"
Text/1f/text,"You're really in a hurry to play, I'll do something like this… hm.. done, what else?"
Text/20/text,Now place the five candles *insert the name of the candles* around and LIGHT THEM ಠ益ಠ)凸
Text/21/text,"Light? But Grandma said not to play with fire, I might get burned."
Text/22/text,"FORGET ABOUT THAT, now put the sand of souls and place me in the middle of the circle, I'LL FIND A WAY OUT ((╬◣﹏◢))"
Text/23/text,"The eggwatch begins to tremble in the middle of the circle and all the candles are lit in order, the room begins to get hotter."
Text/24/text,"Hmm... you're scaring me, I don't want to play with you anymore."
Text/25/text,"BOY, WHAT IS THAT?"
Text/26/text,"His grandparents jump in front, unintentionally entering the circle. A bright light emanates from the fire, blinding his vision. The spirit is transforming in front of him while giving an evil laugh."
Text/27/text,"His grandparents begin to scream, but now, from inside the eggwatch:"
Text/28/text,"Finally... After so long I managed to escape this prison. Did you really think that two dying old humans could contain me forever? HAHAHAHA Filthy child, just like your parents, I will personally carry you to HELL!! HAHAHAHAHA"
Text/29/text,"While the demon's soul begins to materialize, you grab the eggwatch."
Text/2a/text,"RUN BOY, GO AWAY (ಥ﹏ಥ) value your life and get out the door, don't worry about us, run and find a convent or church to protect yourself from him."
Text/2b/text,"NO, EXORCISE THE DEMON (ᗒᗣᗕ)՞ if you don't do that, we'll be trapped forever, this spell is too strong and can only be undone by exorcising this demon."
